Date,Close,Bollinger_Signal,RSI_Signal,Bollinger_RSI_Signal,MACD_Signal,RSI_MACD_Signal,Name
2019-08-08,1204.800048828125,0,0,0,0.0,0,GOOG
2019-08-09,1188.010009765625,0,0,0,0.0,0,GOOG
2019-08-12,1174.7099609375,0,0,0,0.0,0,GOOG
2019-08-13,1197.27001953125,0,0,0,0.0,0,GOOG
2019-08-14,1164.9100341796875,0,0,0,0.0,0,GOOG
2019-08-08,34.540000915527344,0,0,0,0.0,0,T
2019-08-09,34.540000915527344,0,0,0,0.0,0,T
2019-08-12,34.47999954223633,0,0,0,0.0,0,T
2019-08-13,34.860000610351555,0,-100,0,0.0,0,T
2019-08-14,34.189998626708984,0,0,0,0.0,0,T
2019-08-08,122.0199966430664,0,100,0,0.0,0,CAT
2019-08-09,119.37999725341795,0,100,0,0.0,0,CAT
2019-08-12,116.72000122070312,100,100,100,0.0,0,CAT
2019-08-13,119.01000213623048,0,100,0,0.0,0,CAT
2019-08-14,115.19000244140624,0,100,0,0.0,0,CAT
2019-08-08,8.720000267028809,0,0,0,0.0,0,ERIC
2019-08-09,8.649999618530272,0,0,0,100.0,0,ERIC
2019-08-12,8.609999656677246,0,0,0,0.0,0,ERIC
2019-08-13,8.720000267028809,0,0,0,0.0,0,ERIC
2019-08-14,8.350000381469728,100,100,0,0.0,0,ERIC
2019-08-08,5.400000095367432,0,0,0,0.0,0,NOK
2019-08-09,5.4099998474121085,0,0,0,0.0,0,NOK
2019-08-12,5.309999942779541,0,0,0,0.0,0,NOK
2019-08-13,5.329999923706055,0,0,0,0.0,0,NOK
2019-08-14,5.135000228881836,0,0,0,0.0,0,NOK
2019-08-08,71.26000213623047,0,0,0,0.0,0,QCOM
2019-08-09,71.5,0,0,0,0.0,0,QCOM
2019-08-12,69.80000305175781,0,0,0,0.0,0,QCOM
2019-08-13,72.18000030517578,0,0,0,0.0,0,QCOM
2019-08-14,70.9000015258789,0,0,0,0.0,0,QCOM
2019-08-08,55.81999969482422,0,0,0,0.0,0,VZ
2019-08-09,55.77999877929688,0,0,0,0.0,0,VZ
2019-08-12,55.68999862670898,0,0,0,0.0,0,VZ
2019-08-13,56.36999893188477,0,0,0,100.0,0,VZ
2019-08-14,55.79999923706055,0,0,0,0.0,0,VZ
